,database,scenario,fuelOrTech,2018,2025,2030,2035,2040,2045,2050
22,C.sqlite,solve,ELC_CENTRAL,478.2853666326283,6568.635457155798,4189.165823159276,5565.692356073236,4222.324829959168,3938.124983474301,3995.2273697739915
23,C.sqlite,solve,ELC_DIST,0.0,13629.424429542434,16527.127259710585,17594.564314270094,17565.70869993534,18368.358471333562,16750.66002891441
24,C.sqlite,solve,HYDRO,1767.7994858586803,1767.7994858586806,1767.7994858586806,1753.0677055691172,1767.7994858586806,1767.7994858586808,1738.3359252795542
25,C.sqlite,solve,NATGAS_TAXED,50155.9305013747,23820.011379056003,24470.344133465154,24685.105447525853,20884.28964420742,14639.386106155944,0.0
26,C.sqlite,solve,NUCLEAR,29259.027267851623,29007.645598206087,28999.830623199836,28982.246939852437,28949.684550937494,28924.285878694947,23886.94036410954
27,C.sqlite,solve,OIL_TAXED,1120.2173592295078,0.0,0.0,0.0,0.0,0.0,0.0
28,C.sqlite,solve,SOLAR,797.7931575368453,59376.04846168555,59397.26126725808,65976.50428110648,62771.28484798673,61294.83108712918,51216.55643093325
29,C.sqlite,solve,WIND,4.2491371828437545,27781.158179404385,41897.11086208605,52488.00710972543,75198.22538650464,99026.29929144323,144512.71063480456
30,D.sqlite,solve,BIO,4207.220682810216,4207.220703921332,4207.220691699105,1886.9424645651072,0.0,0.0,0.0
31,D.sqlite,solve,COAL_TAXED,8260.325939386043,0.0,0.0,0.0,0.0,0.0,0.0
32,D.sqlite,solve,ELC_CENTRAL,478.2853666326283,3331.117971160142,4640.397821058494,5393.890670695605,5820.118657514142,6723.865592557159,775.5773625253395
33,D.sqlite,solve,ELC_DIST,0.0,1026.59850943239,2492.2777686882664,7201.442321733377,10201.548122091792,15644.667280293512,38586.27740003568
34,D.sqlite,solve,HYDRO,1767.7994858586806,1767.7994858586808,1753.067705569117,1753.0677055691176,1753.0677055691174,1753.0677055691174,1767.7994858586803
35,D.sqlite,solve,NATGAS_TAXED,50155.93054759692,50155.9297251248,50155.92973456926,42600.15115011905,28872.947086770575,14639.385927767034,0.0
36,D.sqlite,solve,NUCLEAR,29259.02726785162,29204.32242891897,29146.361367761492,29162.642589996747,29132.685178861673,28469.714894997967,25826.340582883277
37,D.sqlite,solve,OIL_TAXED,1120.217360618396,14901.158608032049,5975.934111169636,905.687353335661,257.5293110393568,0.0,0.0
38,D.sqlite,solve,SOLAR,797.7931575368453,41572.67960121511,46126.591218593494,52932.43206079513,54258.1511535223,57649.87475210048,87758.39911675954
39,D.sqlite,solve,WIND,4.2491371828437545,1052.352474160215,20938.13140284661,47044.68695650962,78648.37987679255,107610.96935833881,112829.91843390281
40,E.sqlite,solve,BIO,4207.2206936435505,4207.220692482443,4207.220701782443,4207.220694012999,4207.220701004665,4207.220698254666,4207.220694504664
41,E.sqlite,solve,COAL_TAXED,8260.325939386044,0.0,0.0,0.0,0.0,0.0,0.0
42,E.sqlite,solve,ELC_CENTRAL,478.2853666326283,6342.564098129578,6506.501355677424,5608.59266679243,5298.971536794733,4791.065554305076,4271.0378336112735
43,E.sqlite,solve,ELC_DIST,0.0,13610.595688110701,14541.972406050249,14048.42344599429,16051.21227506319,17970.158649653913,15959.069375211702
44,E.sqlite,solve,HYDRO,1767.7994858586806,1694.1405844108647,1738.3359252795542,1767.7994858586806,1616.7987382378806,1767.7994858586803,1609.4328479542096
45,E.sqlite,solve,NATGAS_TAXED,50155.930488235805,23944.546893600076,24712.07713365855,9889.23794068917,5441.564568242142,5456.36537103176,0.0
46,E.sqlite,solve,NUCLEAR,29259.02726785162,29020.670542660944,29058.442912135615,29016.11181765731,28969.873212064747,26143.69940702606,23887.59161133229
47,E.sqlite,solve,OIL_TAXED,1120.217358507285,0.0,0.0,0.0,0.0,0.0,0.0
48,E.sqlite,solve,SOLAR,797.7931575368458,58325.1593031143,59597.786054132404,57019.650829847655,58262.83377528667,58482.562868563844,43805.60081812808
49,E.sqlite,solve,WIND,4.249137182843757,28708.208259312687,41483.267744532706,75508.63782900301,95208.03559945691,113880.36875749315,151925.4829679292
50,F.sqlite,solve,BIO,4207.220693087995,4207.220718088,4207.220700865775,4207.220698365773,2226.6796278924535,1760.6910897418854,1233.6789231786092
51,F.sqlite,solve,COAL_TAXED,8260.325939386048,0.0,0.0,0.0,0.0,0.0,0.0
52,F.sqlite,solve,ELC_CENTRAL,478.2853666326284,3141.8929112079586,4083.926481044919,5196.954579074231,6637.673280032362,4159.553776938754,775.5773555171282
53,F.sqlite,solve,ELC_DIST,0.0,396.51162248162603,1414.0819515201547,8746.415234580463,22142.97644132549,33064.10709020129,38936.72732845493
54,F.sqlite,solve,HYDRO,1767.7994858586806,1767.7994858586808,1753.0677055691174,1767.7994858586799,1767.7994858586803,1767.7994858586803,1767.7994858586808
55,F.sqlite,solve,NATGAS_TAXED,50155.93049059695,50155.930439513635,50155.930381235834,49880.050518515134,7914.016765470106,3310.2037577870506,0.0
56,F.sqlite,solve,NUCLEAR,29259.02726785162,29224.511117824015,29170.457537225222,29159.386339994137,28670.95047849228,28336.692867113765,25826.34058288328
57,F.sqlite,solve,OIL_TAXED,1120.2173614517296,17421.618592270643,8456.251174820558,1364.2275763691598,0.0,0.0,0.0
58,F.sqlite,solve,SOLAR,797.7931575368453,39918.38557677221,42740.87440300549,59284.57197266544,67691.87259398846,80799.86347047353,87826.87766371068
