,database,scenario,fuelOrTech,year,season,tod,value
228,A.sqlite,solve,BIO,2020,fall,hr13,0.0
229,A.sqlite,solve,BIO,2020,fall,hr14,0.0
230,A.sqlite,solve,BIO,2020,fall,hr15,0.0
231,A.sqlite,solve,BIO,2020,fall,hr16,0.0
232,A.sqlite,solve,BIO,2020,fall,hr17,0.0
233,A.sqlite,solve,BIO,2020,fall,hr18,0.0
234,A.sqlite,solve,BIO,2020,fall,hr19,0.0
235,A.sqlite,solve,BIO,2020,fall,hr20,0.0
236,A.sqlite,solve,BIO,2020,fall,hr21,0.0
237,A.sqlite,solve,BIO,2020,fall,hr22,0.0
238,A.sqlite,solve,BIO,2020,fall,hr23,0.0
239,A.sqlite,solve,BIO,2020,fall,hr24,0.0
240,A.sqlite,solve,BIO,2020,winter,hr01,0.0
241,A.sqlite,solve,BIO,2020,winter,hr02,0.0
242,A.sqlite,solve,BIO,2020,winter,hr03,0.0
243,A.sqlite,solve,BIO,2020,winter,hr04,0.0
244,A.sqlite,solve,BIO,2020,winter,hr05,0.0
245,A.sqlite,solve,BIO,2020,winter,hr06,0.0
246,A.sqlite,solve,BIO,2020,winter,hr07,0.0
247,A.sqlite,solve,BIO,2020,winter,hr08,0.0
248,A.sqlite,solve,BIO,2020,winter,hr09,0.0
249,A.sqlite,solve,BIO,2020,winter,hr10,0.0
250,A.sqlite,solve,BIO,2020,winter,hr11,0.0
251,A.sqlite,solve,BIO,2020,winter,hr12,0.0
252,A.sqlite,solve,BIO,2020,winter,hr13,0.0
253,A.sqlite,solve,BIO,2020,winter,hr14,0.0
254,A.sqlite,solve,BIO,2020,winter,hr15,0.0
255,A.sqlite,solve,BIO,2020,winter,hr16,0.0
256,A.sqlite,solve,BIO,2020,winter,hr17,0.0
257,A.sqlite,solve,BIO,2020,winter,hr18,0.0
258,A.sqlite,solve,BIO,2020,winter,hr19,0.0
259,A.sqlite,solve,BIO,2020,winter,hr20,0.0
260,A.sqlite,solve,BIO,2020,winter,hr21,0.0
261,A.sqlite,solve,BIO,2020,winter,hr22,0.0
262,A.sqlite,solve,BIO,2020,winter,hr23,0.0
263,A.sqlite,solve,BIO,2020,winter,hr24,0.0
264,A.sqlite,solve,BIO,2020,winter2,hr01,0.0
265,A.sqlite,solve,BIO,2020,winter2,hr02,0.0
266,A.sqlite,solve,BIO,2020,winter2,hr03,0.0
267,A.sqlite,solve,BIO,2020,winter2,hr04,0.0
268,A.sqlite,solve,BIO,2020,winter2,hr05,0.0
269,A.sqlite,solve,BIO,2020,winter2,hr06,0.0
270,A.sqlite,solve,BIO,2020,winter2,hr07,0.0
271,A.sqlite,solve,BIO,2020,winter2,hr08,0.0
272,A.sqlite,solve,BIO,2020,winter2,hr09,0.0
273,A.sqlite,solve,BIO,2020,winter2,hr10,0.0
274,A.sqlite,solve,BIO,2020,winter2,hr11,0.0
275,A.sqlite,solve,BIO,2020,winter2,hr12,0.0
276,A.sqlite,solve,BIO,2020,winter2,hr13,0.0
277,A.sqlite,solve,BIO,2020,winter2,hr14,0.0
278,A.sqlite,solve,BIO,2020,winter2,hr15,0.0
279,A.sqlite,solve,BIO,2020,winter2,hr16,0.0
280,A.sqlite,solve,BIO,2020,winter2,hr17,0.0
281,A.sqlite,solve,BIO,2020,winter2,hr18,0.0
